,tau,T,Is,Ic,Id,Vs,Vd
2,0.5,5080863.979045811,1005.4630517083446,5.935513608262597e-05,0.22086500223115582,184494.84643180948,62.864312025713424
3,0.7000000000000001,5107941.938524599,1507.995901489861,0.00017718524407789874,0.467052433421751,233027.48396854755,112.50763695240106
4,0.9,5135010.945079606,2164.5619448395137,0.00045695252518703866,0.8714293523212887,302976.00224669016,183.5674598751547
5,1.1,5162006.64475501,3038.744909639117,0.0010753167862765783,1.4991510613744838,401389.0736986943,283.10370215590956
6,1.3,5188841.570901467,4216.623385042769,0.0023809609170147646,2.4385220408556285,538115.9530054597,420.9883730738546
7,1.5,5215396.116351182,5815.571480375009,0.005054350579121212,3.8100672998162888,726822.3622277895,610.9323949202275
8,1.7000000000000002,5241506.140026003,7996.337485372105,0.010412659779145869,5.7790147276974935,986398.990310763,871.9150929396271
9,1.9000000000000001,5266945.935867283,10979.639802447322,0.020990758430368604,8.572503845053195,1342909.3009270723,1230.1721413423336
10,2.1,5291404.841480064,15068.957683971013,0.04164704155513588,12.5033266967167,1832277.8006814632,1721.9604120451515
11,2.3000000000000003,5314455.177649016,20681.764109737742,0.08166691318370332,18.00266874980892,2503992.8284417978,2397.406660445905
12,2.5,5335508.47301133,28392.163265195515,0.1587622884489678,25.665198525234644,3426193.9471173016,3325.8726027409075
13,2.7,5353756.054157949,38988.74097210419,0.3066728265243806,36.31100070945632,4692637.283140188,4603.448401788506
14,2.9000000000000004,5368089.152149878,53552.330643761874,0.589602870259941,51.070287412852956,6432184.013620572,6363.444979098965
15,3.1,5376992.919177172,73559.11348031794,1.1296102832475376,71.49852969416985,8821631.444046443,8791.131303825674
16,3.3000000000000003,5378408.676275204,101014.50149970727,2.1584678331362284,99.73146999365983,12102879.69075475,12144.51588224759
17,3.5,5369560.357217238,138621.57407953122,4.115564509764892,138.6909798738731,16605543.039779779,16783.79809345494
18,3.7,5346746.380450585,189982.57106676677,7.8318558286692515,192.35298253873466,22776054.659132153,23213.372174103442
19,3.9000000000000004,5305110.271623108,259819.9315967079,14.873110477701072,266.0858575748337,31213853.630235426,32142.218487554434
20,4.1000000000000005,5238426.991361497,354179.9658566848,28.174061621402938,367.0587396125464,42714009.012449645,44571.61392044473
21,4.3,5138982.535965434,480542.12862338964,53.19379273988248,504.69908216719864,58313077.88079701,61924.11219678736
22,4.5,4997684.545659621,647697.5805799282,99.981007958711,691.1416625994086,79330487.77443415,86236.01360386307
23,4.7,4804611.96476432,865191.7430234771,186.77284093252445,941.5518293275067,107390974.584795,120449.26153402639
24,4.9,4550254.800661215,1142084.115735522,346.0614832722537,1274.1262605949876,144405532.72459224,168861.25351960098
25,5.1000000000000005,4227629.8419006495,1484844.8488837788,634.4027157112245,1709.4934566432592,192482540.67469287,237826.9089679222
26,5.300000000000001,3835174.6941711837,1894490.0354319136,1147.4918140578666,2269.196814589172,253744386.5746585,336860.6249945884
27,5.5,3379772.442213633,2363602.801699676,2042.0194033140986,2973.0073502519253,330046685.3605269,480356.2565886355
28,5.7,2878627.110222297,2874509.994368635,3565.4046657629588,3835.0338744575056,422639461.6140202,690220.0088786599
29,5.9,2358502.466442116,3400080.9611119046,6093.755543523384,4858.9865282435285,531858099.6040162,999768.8159287245
30,6.1000000000000005,1851595.9046343972,3907850.035507442,10177.738004050565,6033.4621917005725,656954378.6097748,1459256.2389694222
31,6.300000000000001,1388966.552132199,4366522.676995616,16596.174907943536,7328.640685879938,796145589.3114321,2143347.2357396157
32,6.5,993953.2513005731,4752425.117071899,26418.913663323397,8696.033068056064,946877796.7829818,3160830.0972156376
33,6.7,678182.5135794575,5053310.6543241795,41084.05270939068,10072.467305242923,1106213280.0038133,4666934.373068297
34,6.9,441378.1932627531,5268332.541790434,62498.93600280056,11388.094018024234,1271213432.0260835,6878893.605367725
35,7.1000000000000005,274300.12961135985,5404874.092291159,93176.69020001839,12576.34619426998,1439212599.4870193,10095800.490262488
36,7.300000000000001,163020.69459787154,5474035.524243757,136416.94065283384,13582.639479302476,1607939199.544294,14724139.520363381
37,7.5,92812.76454350962,5486508.492906052,196527.62335256426,14369.016726660422,1775498454.0075004,21310324.119405102
38,7.7,50710.7735129053,5449792.1522291275,279061.9969475636,14913.703638924977,1940262679.8571737,30580722.652821776
39,7.9,26637.392137060375,5366906.091221041,391007.9238736684,15206.58868286461,2100719811.2380354,43487563.8380326
40,8.1,13474.812535156283,5236325.533326586,540811.8486097167,15242.977612577606,2255321215.669963,61255205.18065269
41,8.3,6574.951678993229,5052824.4546912685,738050.02365148,15018.292514561135,2402359023.249874,85415051.2930174
42,8.5,3099.2463138856097,4809085.232986188,992497.066059955,14525.955962077313,2539898197.1699924,117809197.77703074
43,8.700000000000001,1413.2698840047146,4498097.093996656,1312349.6204623957,13759.86546596207,2665789069.5842633,160535004.5099985
44,8.9,624.268748139591,4116320.384543933,1701548.6224337288,12721.655153203368,2777785045.851107,215801183.87332603
45,9.1,267.443329952563,3667213.793992821,2156604.957075378,11431.144291563665,2873776525.210864,285679725.0083125
46,9.3,111.25255280899013,3164080.369850281,2664003.767997092,9936.08931531456,2952117229.257189,371773870.57090795
47,9.5,44.98649416354962,2630703.4126936304,3199743.7437552824,8315.712176459256,3011968491.045583,474873910.8707601
48,9.700000000000001,17.70102785577014,2098563.9317012005,3732231.5694115297,6673.448349049059,3053547587.6863227,594712446.8124862
49,9.9,6.783996176655577,1600847.8982607755,4228325.023142102,5118.942542092109,3078174246.496359,729922854.8155539
50,10.100000000000001,2.5348250560003223,1165273.9074367722,4660498.829600963,3745.4209925094965,3088078049.12958,878236362.6064013
51,10.3,0.924207076388997,808627.2174793608,5012263.533069884,2611.7385052332174,3086025834.4362054,1036857412.8050277
52,10.5,0.32908888829383637,535000.4900005279,5279861.906703238,1735.9171451216303,3074894171.388368,1202891888.1957712
53,10.700000000000001,0.11453140890415679,337779.31406084093,5470227.952925831,1100.7790253181133,3057312023.5365486,1373703456.0173464
54,10.9,0.038987946747094826,203799.77644530442,5596794.237710626,666.9190939223347,3035445189.9765496,1547127177.5044675
55,11.100000000000001,0.012990939289005441,117711.00932130705,5675116.162818556,386.7303826320354,3010927973.346784,1721535639.1216917
56,11.3,0.004239839353889509,65205.0438941206,5719645.093090244,215.04110239160931,2984902970.134742,1895797185.2793784
