,tau,T,Is,Ic,Id,Vs,Vd
57,11.5,0.0013562393978240686,34706.46718479579,5742050.1003910685,114.8772051335718,2958116698.7469945,2069178750.5680046
58,11.700000000000001,0.0004254681697470726,17782.592394041218,5750821.351791517,59.066553648431096,2931027958.4135447,2241236420.9767036
59,11.9,0.00013097679795301835,8785.887638795355,5751639.743333133,29.281972854919065,2903903252.675673,2411719313.8049345
60,12.100000000000001,3.958759114991485e-05,4192.627278837396,5748047.409899091,14.019048905177407,2876889294.292484,2580496653.9974976
61,12.3,1.1754140389044436e-05,1935.324307583458,5742121.532524078,6.491679129678381,2850062604.3367167,2747507938.4567995
62,12.5,3.4301176543008744e-06,865.3654910135168,5735015.610679102,2.911593404515058,2823460757.0586023,2912731564.915199
63,12.700000000000001,9.84289890071981e-07,375.3123909679515,5727339.444591861,1.2665194623557,2797100758.7376633,3076166389.350367
64,12.9,2.778646514880671e-07,158.07536866893568,5719401.218603408,0.534975253182711,2770989237.7836757,3237821505.6091967
65,13.100000000000001,7.720256216351976e-08,64.73045950353739,5711350.341315363,0.2196817114732755,2745127806.5503764,3397710870.324081
66,13.3,2.1120398719271597e-08,25.79820963047611,5703256.494247651,0.08779260738927509,2719515752.601565,3555850606.623956
67,13.5,5.691422430393984e-09,10.017075620460528,5695151.0147938235,0.03417920645573228,2694151332.519073,3712257709.1310863
68,13.700000000000001,1.5113222576481006e-09,3.792892072243588,5687047.518491028,0.012975242293784179,2669032369.566705,3866949446.8037767
69,13.9,3.956156397694092e-10,1.401721231678395,5678951.727888642,0.0048073265525331995,2644156519.6618905,4019943098.194516
70,14.100000000000001,1.0212362416779696e-10,0.5060295169644989,5670865.96991797,0.0017397600711357038,2619521385.615548,4171255838.729644
71,14.3,2.6005530336469744e-11,0.17858880394774687,5662791.157590532,0.0006154818438714756,2595124564.530007,4320904694.936521
72,14.5,6.534865663796364e-12,0.06166224414044872,5654727.633056618,0.00021301251809055673,2570963666.7680473,4468906527.129261
73,14.700000000000001,1.6209830739186247e-12,0.02084378299185412,5646675.514639417,7.217147807725995e-05,2547036323.2233586,4615278023.792432
74,14.9,3.9703203167169443e-13,0.006902643705141373,5638634.835321189,2.395451344167085e-05,2523340187.92516,4760035700.618756
75,15.100000000000001,9.605223600803696e-14,0.0022408408459660837,5630605.596407576,7.793748007388458e-06,2499872938.8368893,4903195901.336375
76,15.3,2.29588099595146e-14,0.0007135502939462922,5622587.787751126,2.4871670189644915e-06,2476632277.9762964,5044774799.197484
77,15.5,5.4234048598639724e-15,0.00022300005727851122,5614581.39517266,7.789557656598888e-07,2453615931.2884407,5184788398.695895
78,15.700000000000001,1.2664619689040954e-15,6.843672813891295e-05,5606586.4031165205,2.395564080830546e-07,2430821648.4321856,5323252537.353358
79,15.9,2.92430444752518e-16,2.063495540611495e-05,5598602.795577872,7.237971384359658e-08,2408247202.538367,5460182887.51646
80,16.1,6.67840043249089e-17,6.115948628363582e-06,5590630.556418958,2.14959521529494e-08,2385890389.960251,5595594958.14368
81,16.3,1.508854543675674e-17,1.7826930131958504e-06,5582669.669474628,6.278188924677811e-09,2363749030.0232954,5729504096.575774
82,16.5,3.373258269511617e-18,5.112569925414148e-07,5574720.118586787,1.8040480375096286e-09,2341820964.7765718,5861925490.28738
83,16.7,7.464112148218785e-19,1.443248424213063e-07,5566781.887615412,5.102553837077496e-10,2320104058.7466636,5992874168.61923
84,16.900000000000002,1.635042547816918e-19,4.012022662962567e-08,5558854.960527336,1.4211330878004593e-10,2298596198.751111,6122365004.288394
85,17.1,0.0,0.0,0.0,0.0,0.0,0.0
86,17.3,0.0,0.0,0.0,0.0,0.0,0.0
87,17.5,0.0,0.0,0.0,0.0,0.0,0.0
88,17.7,0.0,0.0,0.0,0.0,0.0,0.0
89,17.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0
90,18.1,0.0,0.0,0.0,0.0,0.0,0.0
91,18.3,0.0,0.0,0.0,0.0,0.0,0.0
92,18.5,0.0,0.0,0.0,0.0,0.0,0.0
93,18.7,0.0,0.0,0.0,0.0,0.0,0.0
94,18.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0
95,19.1,0.0,0.0,0.0,0.0,0.0,0.0
96,19.3,0.0,0.0,0.0,0.0,0.0,0.0
97,19.5,0.0,0.0,0.0,0.0,0.0,0.0
98,19.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0
99,19.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0
